DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/02/18,0,7,8,16,2,10,22,2
2015/02/19,8,65,54,126,22,88,194,47
2015/02/20,11,89,43,112,17,95,161,33
2015/02/21,2,54,50,76,12,52,108,24
2015/02/22,1,47,30,96,10,60,141,26
2015/02/23,7,96,72,145,21,92,221,44
2015/02/24,13,83,47,139,21,93,191,63
2015/02/25,9,117,59,148,36,132,223,54
2015/02/26,12,99,104,190,26,157,254,53
2015/02/27,14,90,45,151,27,118,201,52
2015/02/28,5,40,20,95,14,105,122,29
2015/03/01,0,36,25,64,12,68,99,31
2015/03/02,4,93,56,162,15,151,208,56
2015/03/03,9,109,83,135,36,143,220,76
2015/03/04,10,103,124,136,26,138,220,65
2015/03/05,11,96,64,127,32,143,202,61
2015/03/06,12,85,40,132,21,106,191,49
2015/03/07,4,44,25,91,14,66,124,31
2015/03/08,0,51,29,78,18,71,122,30
2015/03/09,7,113,79,138,32,133,207,51
2015/03/10,6,83,52,121,38,106,168,70
2015/03/11,4,100,55,103,34,132,191,60
2015/03/12,12,98,45,113,43,142,195,65
2015/03/13,8,87,52,114,35,117,178,59
2015/03/14,1,45,41,47,11,41,73,35
2015/03/15,2,49,30,81,8,45,118,25
2015/03/16,2,111,54,122,21,115,231,68
2015/03/17,0,84,69,134,16,124,205,85
2015/03/18,2,79,68,154,27,132,213,114
2015/03/19,8,103,67,140,19,111,218,76
2015/03/20,6,82,81,114,23,110,197,63
2015/03/21,3,45,29,69,8,54,121,29
2015/03/22,6,44,37,75,10,63,111,36
2015/03/23,4,100,82,109,29,79,180,87
2015/03/24,3,92,46,106,33,91,176,80
2015/03/25,4,93,46,102,18,103,155,50
2015/03/26,4,81,59,150,13,106,226,54
2015/03/27,3,113,53,105,14,95,162,73
2015/03/28,1,51,26,79,11,49,120,54
2015/03/29,2,47,28,100,13,49,140,61
2015/03/30,2,105,58,95,18,92,152,133
2015/03/31,5,130,63,121,28,104,203,103
2015/04/01,4,105,58,115,29,132,209,112
2015/04/02,5,110,58,135,21,77,208,92
2015/04/03,6,102,62,123,12,83,193,44
2015/04/04,1,67,33,70,12,58,131,28
2015/04/05,1,56,25,91,17,38,115,35
2015/04/06,4,73,53,121,11,79,210,44
2015/04/07,1,108,59,162,19,99,245,106
2015/04/08,16,101,58,143,28,125,246,81
2015/04/09,16,117,64,120,38,107,238,82
2015/04/10,7,93,51,139,30,102,190,82
2015/04/11,2,49,23,86,11,64,120,47
2015/04/12,2,43,28,98,16,53,133,53
2015/04/13,1,85,55,122,26,86,179,123
2015/04/14,4,114,84,151,15,98,232,85
2015/04/15,6,134,68,110,39,129,175,84
2015/04/16,2,125,65,130,31,131,199,92
2015/04/17,9,92,66,112,28,129,206,79
2015/04/18,1,68,27,83,20,62,137,29
2015/04/19,2,71,48,68,17,60,123,41
2015/04/20,5,148,100,117,24,140,210,78
2015/04/21,4,129,87,120,27,183,222,69
2015/04/22,5,85,67,123,22,102,220,79
2015/04/23,5,122,64,120,27,123,200,83
2015/04/24,6,113,75,127,45,136,237,72
2015/04/25,2,75,53,52,11,54,119,44
2015/04/26,6,69,81,34,17,44,89,37
2015/04/27,6,114,118,93,21,90,170,81
2015/04/28,3,122,113,79,21,123,196,78
2015/04/29,9,127,107,90,27,121,190,86
2015/04/30,10,129,97,98,18,126,226,64
2015/05/01,5,113,100,84,21,98,158,83
2015/05/02,0,50,45,59,17,54,96,33
2015/05/03,1,62,51,62,14,52,124,40
2015/05/04,0,69,57,72,22,65,145,70
2015/05/05,4,112,73,125,38,102,206,120
2015/05/06,8,113,68,123,28,133,190,156
2015/05/07,4,92,51,108,22,106,209,109
2015/05/08,5,89,63,99,18,82,166,210
2015/05/09,5,42,35,91,3,51,172,48
2015/05/10,3,48,33,83,15,41,144,61
2015/05/11,3,117,66,104,29,99,187,87
2015/05/12,5,103,86,120,40,114,216,82
2015/05/13,2,117,77,122,31,88,224,60
2015/05/14,3,115,69,89,22,80,193,58
2015/05/15,5,87,63,88,34,92,211,56
2015/05/16,2,51,39,62,17,58,130,40
2015/05/17,1,69,32,80,18,59,140,35
2015/05/18,1,92,59,115,30,113,217,57
2015/05/19,5,91,64,112,36,121,198,64
2015/05/20,11,115,61,118,42,125,226,43
2015/05/21,8,107,50,111,39,91,211,42
2015/05/22,9,82,50,140,30,128,206,52
2015/05/23,1,47,33,57,24,59,127,27
2015/05/24,1,65,29,75,25,57,114,42
2015/05/25,3,74,52,89,27,59,165,70
2015/05/26,5,113,72,107,12,101,188,45
2015/05/27,5,94,50,89,9,97,155,79
2015/05/28,7,72,48,86,27,97,151,48
2015/05/29,9,91,65,103,20,71,149,68
2015/05/30,8,32,24,48,7,49,88,22
2015/05/31,0,36,21,40,7,56,72,25
2015/06/01,7,73,58,101,22,95,157,36
2015/06/02,9,100,56,102,30,81,170,66
2015/06/03,12,98,59,117,28,96,187,54
2015/06/04,6,108,51,114,30,88,184,49
2015/06/05,20,107,62,95,24,88,162,52
2015/06/06,5,60,34,59,17,36,108,29
2015/06/07,5,44,38,63,9,36,90,34
2015/06/08,5,64,67,76,29,80,99,66
2015/06/09,10,38,24,44,11,47,66,33
2015/06/10,4,52,22,29,9,52,53,20
2015/06/11,6,43,25,30,6,57,55,28
2015/06/12,1,42,23,16,6,36,43,15
2015/06/13,1,21,5,14,5,16,22,9
2015/06/14,0,25,15,13,2,20,23,6
2015/06/15,2,43,18,48,9,43,66,19
2015/06/16,2,52,23,37,10,39,52,23
2015/06/17,2,44,29,37,4,44,52,13
2015/06/18,2,49,25,29,11,46,56,21
2015/06/19,0,40,20,29,9,53,45,15
2015/06/20,0,15,7,14,8,16,29,8
2015/06/21,1,18,8,8,2,19,21,6
2015/06/22,0,33,17,26,12,46,46,14
2015/06/23,2,48,19,27,12,56,49,18
2015/06/24,4,46,20,31,16,52,55,23
2015/06/25,6,50,25,33,10,46,49,21
2015/06/26,4,35,12,32,8,34,43,10
2015/06/27,0,11,2,23,6,10,35,5
2015/06/28,0,18,6,17,2,13,26,6
2015/06/29,0,30,15,47,12,36,63,15
2015/06/30,2,32,16,39,8,31,41,14
2015/07/01,4,50,28,28,19,37,43,19
