DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/10/20,3,26,9,28,14,21,31,52
2016/10/21,12,46,20,56,9,26,73,59
2016/10/22,10,29,6,24,10,12,39,34
2016/10/23,5,27,12,19,5,12,41,26
2016/10/24,6,45,16,46,13,31,69,68
2016/10/25,10,55,27,49,10,34,83,84
2016/10/26,9,68,25,47,17,43,96,65
2016/10/27,5,62,26,36,11,41,77,65
2016/10/28,8,43,23,42,18,26,92,67
2016/10/29,5,25,7,32,2,14,49,43
2016/10/30,4,17,15,27,6,15,44,36
2016/10/31,4,54,29,50,12,32,80,83
2016/11/01,6,43,16,44,18,27,77,81
2016/11/02,7,48,21,29,27,26,64,84
2016/11/03,1,34,16,30,11,27,37,74
2016/11/04,7,50,16,39,22,33,59,64
2016/11/05,2,22,7,21,6,17,39,43
2016/11/06,1,16,8,26,4,11,35,47
2016/11/07,6,51,22,42,14,25,72,114
2016/11/08,5,43,10,28,12,19,52,99
2016/11/09,6,74,19,40,16,15,47,185
2016/11/10,5,41,14,30,14,23,53,106
2016/11/11,6,48,18,56,30,30,68,101
2016/11/12,0,17,8,27,13,7,27,29
2016/11/13,0,32,14,25,19,13,33,44
2016/11/14,3,36,19,47,28,24,60,66
2016/11/15,6,42,27,45,25,25,50,76
2016/11/16,6,50,25,46,30,23,63,74
2016/11/17,3,45,39,48,26,25,69,72
2016/11/18,4,39,27,30,20,19,59,58
2016/11/19,1,20,13,29,18,20,35,29
2016/11/20,2,12,2,17,8,10,21,21
2016/11/21,1,38,18,42,15,18,50,47
2016/11/22,2,43,33,43,17,46,46,48
2016/11/23,5,34,28,41,11,16,44,50
2016/11/24,3,22,23,33,9,14,41,25
2016/11/25,2,35,23,35,15,29,42,16
2016/11/26,4,15,8,20,9,18,39,19
2016/11/27,4,16,11,17,4,3,28,23
2016/11/28,5,24,26,29,9,22,45,38
2016/11/29,3,44,23,31,10,21,47,32
