DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/11/07,2,36,17,29,14,25,46,52
2016/11/08,7,48,32,43,22,41,71,129
2016/11/09,7,101,51,69,55,52,109,191
2016/11/10,10,65,39,60,45,40,94,107
2016/11/11,6,76,45,56,25,36,95,88
2016/11/12,3,47,27,39,20,28,63,64
2016/11/13,0,24,13,27,9,16,38,31
2016/11/14,4,78,41,61,30,36,94,89
2016/11/15,3,60,32,57,33,32,84,91
2016/11/16,4,55,36,69,28,37,79,69
2016/11/17,10,72,48,52,30,47,90,74
2016/11/18,2,58,49,69,33,48,94,74
2016/11/19,3,45,25,42,21,20,62,54
2016/11/20,0,22,14,25,9,9,31,24
2016/11/21,6,53,43,48,24,33,81,45
2016/11/22,4,60,56,57,21,44,92,56
2016/11/23,1,44,32,30,23,35,56,52
2016/11/24,4,48,40,51,8,27,64,34
2016/11/25,2,62,40,45,16,36,77,38
2016/11/26,4,30,23,32,17,19,48,35
2016/11/27,3,19,10,21,6,14,28,20
2016/11/28,5,49,38,50,19,24,66,50
2016/11/29,3,51,30,47,13,43,73,53
2016/11/30,5,57,35,59,15,35,78,56
2016/12/01,11,60,39,66,21,55,81,55
2016/12/02,8,69,48,67,26,40,95,76
2016/12/03,4,47,24,40,13,27,52,37
2016/12/04,1,15,15,33,4,9,32,26
2016/12/05,5,67,58,58,20,45,90,78
2016/12/06,7,48,30,58,13,59,98,57
2016/12/07,5,54,37,58,20,42,104,53
2016/12/08,9,61,46,54,28,37,86,44
2016/12/09,9,74,56,69,22,45,108,61
2016/12/10,2,40,19,44,14,21,60,47
2016/12/11,3,10,9,20,4,9,40,22
2016/12/12,11,41,28,43,16,38,72,48
2016/12/13,14,57,42,56,16,48,84,62
2016/12/14,11,63,44,51,18,44,84,56
2016/12/15,20,58,43,55,16,40,81,48
2016/12/16,15,65,37,57,18,43,89,68
2016/12/17,5,38,30,48,13,29,56,39
2016/12/18,5,13,13,26,3,9,35,20
2016/12/19,11,52,29,60,13,20,77,42
2016/12/20,4,48,33,48,21,32,62,32
2016/12/21,8,64,34,56,18,59,78,40
2016/12/22,8,43,29,52,11,25,79,34
2016/12/23,5,49,33,55,19,40,91,35
2016/12/24,0,25,13,34,5,15,52,19
2016/12/25,0,25,14,16,2,10,36,8
2016/12/26,7,27,16,31,14,25,38,14
2016/12/27,7,27,22,36,8,19,56,35
2016/12/28,4,42,21,40,14,46,66,24
2016/12/29,10,38,28,57,13,40,75,30
2016/12/30,11,43,34,52,17,37,71,39
2016/12/31,12,29,23,32,8,14,46,27
2017/01/01,5,21,11,32,5,15,34,15
2017/01/02,4,21,14,24,7,20,41,23
2017/01/03,2,43,31,42,13,36,62,40
2017/01/04,6,33,29,50,12,38,72,34
2017/01/05,7,45,32,57,23,39,71,36
2017/01/06,19,60,42,64,17,55,97,44
2017/01/07,6,15,14,26,8,8,33,26
2017/01/08,4,23,9,24,4,9,35,16
2017/01/09,5,35,30,42,15,35,73,43
2017/01/10,21,106,93,115,57,97,163,90
2017/01/11,17,69,64,79,33,50,109,67
2017/01/12,17,67,45,67,26,57,93,66
2017/01/13,9,93,65,76,23,55,118,59
2017/01/14,5,35,27,39,16,18,54,40
2017/01/15,3,27,16,29,9,17,44,23
2017/01/16,2,60,34,58,20,40,86,58
2017/01/17,3,54,41,72,26,40,89,54
2017/01/18,11,75,61,78,27,49,108,65
2017/01/19,4,76,53,68,28,51,109,60
2017/01/20,5,83,43,70,27,46,105,89
2017/01/21,4,41,25,45,22,28,66,64
2017/01/22,3,25,23,31,11,12,38,24
