DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/09/14,0,0,0,0,0,0,0,0
2015/09/15,0,0,0,0,0,0,0,0
2015/09/27,0,0,0,0,0,0,0,0
2015/09/28,0,0,0,0,0,0,0,0
2015/10/05,0,0,0,0,0,0,0,0
2015/10/07,0,0,0,0,0,0,0,0
2015/10/11,0,0,0,0,0,0,0,0
2015/10/19,0,0,0,0,0,0,0,0
2015/12/29,0,0,0,0,0,0,0,0
2016/02/14,0,0,0,0,0,0,0,0
2016/04/18,0,0,0,0,0,0,0,0
2016/06/07,1,4,1,5,2,5,7,2
2016/06/08,0,1,0,0,1,1,3,1
2016/06/09,0,6,1,1,0,0,2,1
2016/06/10,0,3,1,5,0,4,7,2
2016/06/11,0,0,0,1,0,1,2,0
2016/06/12,0,4,1,3,1,4,3,1
2016/06/13,1,4,2,4,2,4,6,1
2016/06/14,0,4,0,0,1,2,4,2
2016/06/15,0,0,1,2,1,3,3,2
2016/06/16,0,1,0,1,0,2,3,0
2016/06/17,0,2,1,0,1,4,0,2
2016/06/18,0,1,0,1,0,3,2,0
2016/06/19,0,4,1,1,0,2,5,1
2016/06/20,0,7,2,6,4,6,10,3
2016/06/21,0,8,1,2,0,2,6,3
2016/06/22,1,3,2,4,1,1,5,4
2016/06/23,0,4,1,0,0,0,1,1
2016/06/24,0,4,1,2,0,3,4,7
2016/06/25,0,5,2,2,0,1,4,6
2016/06/26,1,2,1,6,0,3,7,3
2016/06/27,1,5,2,3,1,3,6,8
2016/06/28,0,4,3,3,2,3,7,2
2016/06/29,0,5,1,5,0,2,3,3
2016/06/30,0,5,1,2,1,3,5,2
2016/07/01,0,3,1,1,2,1,3,2
2016/07/02,0,3,0,2,1,3,3,2
2016/07/03,1,2,1,4,0,4,5,4
2016/07/04,0,7,3,3,1,3,5,4
2016/07/05,0,4,1,1,1,4,6,3
2016/07/06,0,4,0,5,1,2,7,0
2016/07/07,0,1,2,4,0,3,8,0
2016/07/08,0,4,0,1,1,1,6,1
2016/07/09,0,1,0,3,0,1,2,0
2016/07/10,0,1,0,1,0,3,5,0
2016/07/11,0,0,0,1,0,1,1,1
2016/07/12,0,3,1,2,1,1,3,3
2016/07/13,0,4,6,5,1,5,10,4
2016/07/14,0,3,0,1,0,2,4,1
2016/07/15,0,8,2,7,1,2,10,4
2016/07/16,0,1,0,3,0,1,2,1
2016/07/17,0,3,3,9,1,6,8,3
2016/07/18,0,4,3,4,0,1,5,0
2016/07/19,0,9,2,2,3,3,9,2
2016/07/20,2,6,2,4,0,4,6,1
2016/07/21,0,9,2,3,2,3,4,1
2016/07/22,0,3,3,4,0,6,5,0
2016/07/23,1,1,0,3,0,1,2,0
2016/07/24,0,3,1,2,0,3,3,1
2016/07/25,0,5,2,3,2,4,5,2
2016/07/26,1,11,3,8,4,8,12,3
2016/07/27,2,7,3,7,1,5,11,2
2016/07/28,1,7,0,8,1,6,11,3
2016/07/29,0,2,5,6,0,6,9,1
2016/07/30,1,3,3,3,2,3,7,0
2016/07/31,0,6,2,9,0,5,10,1
2016/08/01,0,11,1,5,0,2,5,2
2016/08/02,0,5,1,2,0,3,6,0
2016/08/03,0,3,4,4,1,3,7,0
2016/08/04,0,9,2,9,0,11,12,0
2016/08/05,1,3,2,3,2,4,3,1
2016/08/06,0,3,1,5,0,4,8,0
2016/08/07,0,1,2,4,2,2,6,1
2016/08/08,0,7,4,7,2,4,8,1
2016/08/09,2,7,1,3,1,5,13,1
2016/08/10,0,5,3,4,2,4,8,2
2016/08/11,0,6,4,7,2,4,9,2
2016/08/12,0,5,3,8,2,6,12,2
2016/08/13,0,1,1,2,0,0,4,0
2016/08/14,0,3,1,4,0,4,9,2
2016/08/15,2,4,4,5,1,6,9,2
2016/08/16,0,6,4,3,1,4,7,2
2016/08/17,1,6,4,13,2,10,17,1
2016/08/18,0,14,7,10,1,8,14,0
2016/08/19,1,6,2,3,1,7,4,1
2016/08/20,1,4,1,3,2,6,2,1
2016/08/21,0,7,1,3,0,5,7,1
2016/08/22,0,12,4,4,1,6,5,0
2016/08/23,0,5,5,5,1,8,7,3
2016/08/24,1,7,6,6,0,10,12,1
2016/08/25,0,17,8,11,2,13,18,3
2016/08/26,1,6,9,8,1,15,12,1
2016/08/27,0,8,5,5,3,6,10,3
2016/08/28,1,5,4,6,1,7,10,2
2016/08/29,0,11,4,9,0,11,11,0
2016/08/30,0,11,7,6,0,6,4,2
2016/08/31,0,12,6,7,3,13,17,4
2016/09/01,1,8,5,5,3,11,13,2
2016/09/02,0,13,4,7,0,8,10,2
2016/09/03,0,9,5,5,0,8,8,1
2016/09/04,2,11,3,7,1,8,13,3
2016/09/05,1,8,6,4,1,4,14,3
2016/09/06,1,13,4,7,5,11,17,3
2016/09/07,0,16,11,12,3,9,12,2
2016/09/08,1,3,3,6,2,11,14,2
2016/09/09,0,11,3,7,2,15,14,2
2016/09/10,0,12,1,4,2,7,6,2
2016/09/11,0,8,1,5,1,9,14,4
2016/09/12,1,11,3,7,2,5,10,7
2016/09/13,0,19,6,8,2,10,17,5
2016/09/14,0,14,6,8,2,14,22,0
2016/09/15,1,9,7,4,0,6,14,6
2016/09/16,5,5,3,7,3,8,16,4
2016/09/17,2,5,0,4,0,2,8,2
2016/09/18,1,11,2,10,1,10,18,1
