DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/02/18,1,3,8,8,1,11,11,1
2015/02/19,1,59,55,48,25,76,77,26
2015/02/20,5,45,51,45,17,76,60,19
2015/02/21,0,51,43,31,12,60,54,26
2015/02/22,1,36,44,18,9,39,53,17
2015/02/23,4,55,51,39,8,81,73,17
2015/02/24,9,60,54,49,32,82,103,37
2015/02/25,6,71,57,46,15,116,90,46
2015/02/26,4,75,56,52,23,99,107,36
2015/02/27,3,60,40,51,15,99,73,24
2015/02/28,1,37,30,24,11,61,39,16
2015/03/01,1,29,40,21,10,46,51,16
2015/03/02,1,40,39,30,20,78,72,23
2015/03/03,3,59,47,50,12,93,86,24
2015/03/04,6,49,55,53,22,88,96,27
2015/03/05,5,56,72,32,25,87,66,29
2015/03/06,7,61,57,29,29,97,66,19
2015/03/07,3,42,47,18,17,64,58,15
2015/03/08,1,38,41,15,9,39,49,12
2015/03/09,8,94,69,57,24,116,119,37
2015/03/10,7,65,61,36,22,127,81,32
2015/03/11,8,60,33,39,18,128,95,25
2015/03/12,1,53,57,39,24,106,101,22
2015/03/13,0,56,47,31,20,120,96,18
2015/03/14,0,33,30,26,5,78,56,11
2015/03/15,0,35,30,13,18,50,51,15
2015/03/16,4,53,57,34,15,82,85,22
2015/03/17,4,44,38,45,24,99,90,23
2015/03/18,6,55,39,48,21,77,99,40
2015/03/19,3,55,33,33,18,103,77,33
2015/03/20,3,60,39,37,19,118,85,19
2015/03/21,3,36,35,13,10,74,51,14
2015/03/22,2,28,43,21,9,44,48,23
2015/03/23,5,43,39,34,25,79,74,35
2015/03/24,5,47,40,34,20,120,85,24
2015/03/25,8,57,46,47,21,125,88,32
2015/03/26,4,49,31,37,15,107,75,26
2015/03/27,2,52,39,35,13,94,80,28
2015/03/28,2,27,35,14,14,57,54,14
2015/03/29,1,33,38,23,8,38,40,18
2015/03/30,4,45,40,46,25,72,72,27
2015/03/31,3,48,36,41,31,108,73,34
2015/04/01,5,48,43,43,39,89,87,27
2015/04/02,3,67,45,39,38,99,91,23
2015/04/03,2,42,48,34,37,113,78,24
2015/04/04,3,45,40,24,13,83,56,15
2015/04/05,2,32,38,14,12,42,50,18
2015/04/06,0,42,46,31,23,83,70,26
2015/04/07,4,48,38,26,23,86,81,22
2015/04/08,3,56,50,42,22,95,88,39
2015/04/09,2,45,32,34,19,104,88,28
2015/04/10,4,40,43,42,17,85,96,25
2015/04/11,2,42,38,21,9,63,58,11
2015/04/12,3,40,40,22,12,55,58,17
2015/04/13,4,42,26,31,13,80,75,17
2015/04/14,4,67,40,36,17,122,98,26
2015/04/15,4,41,41,34,18,95,83,26
2015/04/16,2,56,43,40,27,88,87,29
2015/04/17,1,48,29,26,16,100,69,16
2015/04/18,1,29,33,30,10,88,57,14
2015/04/19,1,33,22,18,3,44,39,12
2015/04/20,3,47,28,41,14,79,83,25
2015/04/21,2,53,60,34,17,82,82,28
2015/04/22,6,86,55,43,25,155,104,47
2015/04/23,3,62,59,50,23,120,110,29
2015/04/24,2,58,50,33,18,100,84,22
2015/04/25,1,33,43,17,12,73,61,16
2015/04/26,2,49,44,19,18,64,67,19
2015/04/27,3,74,70,33,35,134,106,27
2015/04/28,2,60,60,27,36,132,98,30
2015/04/29,4,63,55,53,28,135,104,45
2015/04/30,3,67,51,36,24,136,115,24
2015/05/01,4,64,61,33,19,113,92,33
2015/05/02,2,47,34,22,14,73,58,15
2015/05/03,1,37,40,16,13,51,60,17
2015/05/04,1,46,52,35,18,115,75,26
2015/05/05,2,58,53,51,24,167,85,34
2015/05/06,1,81,64,44,26,147,99,46
2015/05/07,3,57,78,53,19,109,99,26
2015/05/08,3,43,56,26,12,80,67,23
2015/05/09,2,28,39,16,10,63,61,12
2015/05/10,0,27,57,22,7,61,39,27
2015/05/11,1,62,56,43,20,101,95,30
2015/05/12,2,76,70,46,33,165,109,39
2015/05/13,3,72,50,42,25,123,115,38
2015/05/14,4,57,52,34,25,119,92,32
2015/05/15,1,51,51,36,19,83,76,30
2015/05/16,1,42,42,28,14,64,57,13
2015/05/17,0,46,45,24,17,64,71,21
2015/05/18,4,50,57,36,20,117,98,29
2015/05/19,3,69,67,34,24,127,105,37
2015/05/20,9,69,56,47,14,146,102,56
2015/05/21,4,43,43,40,19,112,99,33
2015/05/22,3,62,50,33,16,108,109,21
2015/05/23,1,36,42,22,14,64,69,19
2015/05/24,0,38,45,17,9,61,68,12
2015/05/25,3,44,41,24,11,67,93,18
2015/05/26,2,72,57,25,16,101,86,26
2015/05/27,2,71,57,42,13,166,119,29
2015/05/28,2,60,57,39,27,127,106,33
2015/05/29,6,43,63,26,14,105,90,28
2015/05/30,2,31,44,12,14,71,58,11
2015/05/31,1,28,62,15,7,49,63,25
2015/06/01,1,65,63,34,20,128,112,32
2015/06/02,4,68,72,41,28,143,103,35
2015/06/03,3,58,59,35,14,134,99,38
2015/06/04,3,70,45,31,22,115,76,35
2015/06/05,8,57,50,37,17,97,66,21
2015/06/06,2,36,40,13,11,60,55,16
2015/06/07,0,36,42,18,8,52,52,9
2015/06/08,5,55,57,35,21,117,89,19
2015/06/09,4,63,69,33,23,116,87,24
2015/06/10,4,58,61,44,28,123,90,42
2015/06/11,7,67,45,37,33,121,106,26
2015/06/12,5,50,51,28,12,86,79,19
2015/06/13,4,47,38,18,9,65,67,7
2015/06/14,4,30,44,15,9,38,46,16
2015/06/15,5,60,75,23,11,99,81,18
2015/06/16,4,71,62,42,20,139,90,28
2015/06/17,6,72,76,26,10,134,92,22
2015/06/18,1,52,61,55,18,115,113,17
2015/06/19,0,52,44,37,22,112,87,19
2015/06/20,1,47,53,23,19,65,74,12
